TDL2048-Demo
alpha = 0.1
total = 200000
seed = 313551019
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
6-tuple pattern 012345 is loaded from weights_new.bin
6-tuple pattern 456789 is loaded from weights_new.bin
6-tuple pattern 012456 is loaded from weights_new.bin
6-tuple pattern 45689a is loaded from weights_new.bin
1000	mean = 73504	max = 182920
	1024	96.1%	(8%)
	2048	88.1%	(17.9%)
	4096	70.2%	(45.5%)
	8192	24.7%	(24.7%)
22000	mean = 76738.8	max = 191236
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.3%)
	1024	96.9%	(7.7%)
	2048	89.2%	(16.9%)
	4096	72.3%	(44.7%)
	8192	27.6%	(27.6%)
23000	mean = 77428.2	max = 178228
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(2.8%)
	1024	96.4%	(8%)
	2048	88.4%	(17.3%)
	4096	71.1%	(41.4%)
	8192	29.7%	(29.7%)
24000	mean = 76657.5	max = 225288
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.8%)
	512	98.6%	(2.5%)
	1024	96.1%	(8.1%)
	2048	88%	(17.7%)
	4096	70.3%	(40.8%)
	8192	29.5%	(29.4%)
	16384	0.1%	(0.1%)
25000	mean = 77273	max = 187264
	32	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.2%)
	1024	97.3%	(8.6%)
	2048	88.7%	(15.7%)
	4096	73%	(45.2%)
	8192	27.8%	(27.8%)
26000	mean = 77442.7	max = 177748
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.2%)
	512	99.5%	(2.5%)
	1024	97%	(7.8%)
	2048	89.2%	(15%)
	4096	74.2%	(46.4%)
	8192	27.8%	(27.8%)
27000	mean = 79513.8	max = 182460
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.9%)
	1024	97.6%	(7.6%)
	2048	90%	(15.7%)
	4096	74.3%	(43.5%)
	8192	30.8%	(30.8%)
28000	mean = 78232	max = 180388
	64	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(2.1%)
	1024	96.9%	(8.9%)
	2048	88%	(16.7%)
	4096	71.3%	(39.7%)
	8192	31.6%	(31.6%)
29000	mean = 77170.3	max = 178664
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.3%)
	1024	96.9%	(8.5%)
	2048	88.4%	(15.3%)
	4096	73.1%	(44.2%)
	8192	28.9%	(28.9%)
30000	mean = 77954.6	max = 177588
	256	100%	(0.2%)
	512	99.8%	(2.4%)
	1024	97.4%	(7.7%)
	2048	89.7%	(16.8%)
	4096	72.9%	(44.1%)
	8192	28.8%	(28.8%)
31000	mean = 77783.7	max = 177456
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.2%)
	1024	97%	(8.2%)
	2048	88.8%	(16.5%)
	4096	72.3%	(43.6%)
	8192	28.7%	(28.7%)
32000	mean = 78555.6	max = 177220
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.3%)
	512	99.2%	(2.8%)
	1024	96.4%	(7.5%)
	2048	88.9%	(16.8%)
	4096	72.1%	(41.9%)
	8192	30.2%	(30.2%)
33000	mean = 75586.5	max = 177368
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(3.3%)
	1024	96%	(8.4%)
	2048	87.6%	(17.3%)
	4096	70.3%	(44.8%)
	8192	25.5%	(25.5%)
34000	mean = 78173.2	max = 178764
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.7%)
	1024	96.9%	(9%)
	2048	87.9%	(14.7%)
	4096	73.2%	(44.4%)
	8192	28.8%	(28.8%)
35000	mean = 77735.4	max = 200136
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(2.2%)
	1024	97.2%	(9.7%)
	2048	87.5%	(15.4%)
	4096	72.1%	(43.1%)
	8192	29%	(29%)
36000	mean = 78537.8	max = 230200
	128	100%	(0.3%)
	256	99.7%	(0.7%)
	512	99%	(1.3%)
	1024	97.7%	(8.3%)
	2048	89.4%	(17.4%)
	4096	72%	(43.4%)
	8192	28.6%	(28.4%)
	16384	0.2%	(0.2%)
37000	mean = 76221.6	max = 177544
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(2.9%)
	1024	96.2%	(7.4%)
	2048	88.8%	(16.5%)
	4096	72.3%	(45.3%)
	8192	27%	(27%)
38000	mean = 77242.7	max = 180912
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.6%)
	1024	97.9%	(8.7%)
	2048	89.2%	(16.2%)
	4096	73%	(44.6%)
	8192	28.4%	(28.4%)
39000	mean = 79072.5	max = 181992
	256	100%	(0.8%)
	512	99.2%	(2.6%)
	1024	96.6%	(7.6%)
	2048	89%	(15.4%)
	4096	73.6%	(43.6%)
	8192	30%	(30%)
40000	mean = 80473.6	max = 197268
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.7%)
	1024	97.5%	(8.1%)
	2048	89.4%	(16.1%)
	4096	73.3%	(42%)
	8192	31.3%	(31.3%)
41000	mean = 80531.4	max = 226332
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(1.6%)
	1024	97.5%	(6.5%)
	2048	91%	(16.1%)
	4096	74.9%	(44%)
	8192	30.9%	(30.8%)
	16384	0.1%	(0.1%)
42000	mean = 78729.8	max = 264632
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.9%)
	512	98.7%	(2.8%)
	1024	95.9%	(6.9%)
	2048	89%	(16.2%)
	4096	72.8%	(43.4%)
	8192	29.4%	(29.3%)
	16384	0.1%	(0.1%)
43000	mean = 79573.2	max = 181960
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(2.5%)
	1024	96.8%	(8%)
	2048	88.8%	(14.4%)
	4096	74.4%	(45.3%)
	8192	29.1%	(29.1%)
44000	mean = 83554.5	max = 199412
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(1.6%)
	1024	97.5%	(7.1%)
	2048	90.4%	(14.4%)
	4096	76%	(42.2%)
	8192	33.8%	(33.8%)
45000	mean = 77659.8	max = 213496
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.2%)
	1024	97%	(7.1%)
	2048	89.9%	(16.9%)
	4096	73%	(45.8%)
	8192	27.2%	(27.1%)
	16384	0.1%	(0.1%)
46000	mean = 78965.2	max = 192436
	32	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.4%)
	512	99%	(2.3%)
	1024	96.7%	(8.4%)
	2048	88.3%	(15.2%)
	4096	73.1%	(43%)
	8192	30.1%	(30.1%)
47000	mean = 79700.9	max = 192684
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(3.1%)
	1024	96.1%	(7.7%)
	2048	88.4%	(16.5%)
	4096	71.9%	(41.1%)
	8192	30.8%	(30.8%)
48000	mean = 78610.4	max = 183232
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2.3%)
	1024	96.8%	(8.7%)
	2048	88.1%	(15.3%)
	4096	72.8%	(43.9%)
	8192	28.9%	(28.9%)
49000	mean = 81032.5	max = 275440
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.2%)
	256	99.5%	(0.7%)
	512	98.8%	(2.7%)
	1024	96.1%	(7.2%)
	2048	88.9%	(15.1%)
	4096	73.8%	(41.8%)
	8192	32%	(31.9%)
	16384	0.1%	(0.1%)
50000	mean = 80719.2	max = 178376
	256	100%	(0.3%)
	512	99.7%	(1.8%)
	1024	97.9%	(8.5%)
	2048	89.4%	(16.6%)
	4096	72.8%	(40.8%)
	8192	32%	(32%)
51000	mean = 83170.9	max = 193636
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.1%)
	512	99.4%	(2.1%)
	1024	97.3%	(7.6%)
	2048	89.7%	(13.3%)
	4096	76.4%	(43.2%)
	8192	33.2%	(33.2%)
52000	mean = 80662.7	max = 201812
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.6%)
	256	99%	(0.3%)
	512	98.7%	(2.4%)
	1024	96.3%	(6.6%)
	2048	89.7%	(16.1%)
	4096	73.6%	(43%)
	8192	30.6%	(30.6%)
53000	mean = 79935.7	max = 221392
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2%)
	1024	97.6%	(7.3%)
	2048	90.3%	(18%)
	4096	72.3%	(41.4%)
	8192	30.9%	(30.8%)
	16384	0.1%	(0.1%)
54000	mean = 79239.5	max = 196644
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(2.7%)
	1024	96.5%	(8.7%)
	2048	87.8%	(15%)
	4096	72.8%	(42%)
	8192	30.8%	(30.8%)
55000	mean = 82270.8	max = 187816
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(2.6%)
	1024	96.6%	(7.7%)
	2048	88.9%	(14.7%)
	4096	74.2%	(41.2%)
	8192	33%	(33%)
56000	mean = 82422	max = 187408
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.1%)
	1024	97.4%	(7.6%)
	2048	89.8%	(15.6%)
	4096	74.2%	(40.4%)
	8192	33.8%	(33.8%)
57000	mean = 80991.9	max = 177860
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.5%)
	1024	98.1%	(7.9%)
	2048	90.2%	(15.5%)
	4096	74.7%	(43.6%)
	8192	31.1%	(31.1%)
58000	mean = 80392.4	max = 233636
	256	100%	(0.4%)
	512	99.6%	(2.7%)
	1024	96.9%	(8.5%)
	2048	88.4%	(14.5%)
	4096	73.9%	(44.4%)
	8192	29.5%	(29.4%)
	16384	0.1%	(0.1%)
59000	mean = 80710.6	max = 253892
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.6%)
	512	98.9%	(1.8%)
	1024	97.1%	(8.5%)
	2048	88.6%	(15.9%)
	4096	72.7%	(41.2%)
	8192	31.5%	(31.3%)
	16384	0.2%	(0.2%)
60000	mean = 80149.2	max = 213516
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(1.7%)
	1024	97.3%	(9.1%)
	2048	88.2%	(14.8%)
	4096	73.4%	(42.5%)
	8192	30.9%	(30.8%)
	16384	0.1%	(0.1%)
61000	mean = 82304.4	max = 178100
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2.1%)
	1024	97.2%	(7.5%)
	2048	89.7%	(16.2%)
	4096	73.5%	(41.1%)
	8192	32.4%	(32.4%)
62000	mean = 83154.5	max = 195736
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.9%)
	1024	97.3%	(8.9%)
	2048	88.4%	(14%)
	4096	74.4%	(40.9%)
	8192	33.5%	(33.5%)
63000	mean = 81797.4	max = 201828
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(2.2%)
	1024	97.3%	(7.6%)
	2048	89.7%	(13.8%)
	4096	75.9%	(45.2%)
	8192	30.7%	(30.7%)
64000	mean = 84479.1	max = 261640
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(2.2%)
	1024	97.1%	(6.9%)
	2048	90.2%	(14.6%)
	4096	75.6%	(41.4%)
	8192	34.2%	(34%)
	16384	0.2%	(0.2%)
65000	mean = 82169.7	max = 217384
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	512	99.5%	(3.1%)
	1024	96.4%	(6.9%)
	2048	89.5%	(15.2%)
	4096	74.3%	(42.7%)
	8192	31.6%	(31.5%)
	16384	0.1%	(0.1%)
66000	mean = 82939.4	max = 182900
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.3%)
	512	99.1%	(1.8%)
	1024	97.3%	(7.7%)
	2048	89.6%	(15.5%)
	4096	74.1%	(41.8%)
	8192	32.3%	(32.3%)
67000	mean = 83804.4	max = 215552
	256	100%	(0.6%)
	512	99.4%	(2.6%)
	1024	96.8%	(6.2%)
	2048	90.6%	(15%)
	4096	75.6%	(41.7%)
	8192	33.9%	(33.8%)
	16384	0.1%	(0.1%)
68000	mean = 80915.8	max = 183320
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.7%)
	1024	97.7%	(8%)
	2048	89.7%	(15.4%)
	4096	74.3%	(44.5%)
	8192	29.8%	(29.8%)
69000	mean = 82374	max = 220820
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.6%)
	1024	97.6%	(8.5%)
	2048	89.1%	(15.8%)
	4096	73.3%	(40.8%)
	8192	32.5%	(32.4%)
	16384	0.1%	(0.1%)
70000	mean = 83139	max = 197564
	128	100%	(0.4%)
	256	99.6%	(0.3%)
	512	99.3%	(2.5%)
	1024	96.8%	(7.2%)
	2048	89.6%	(14.6%)
	4096	75%	(41.3%)
	8192	33.7%	(33.7%)
71000	mean = 83402.9	max = 192728
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.4%)
	1024	97.2%	(7.8%)
	2048	89.4%	(14.5%)
	4096	74.9%	(43.1%)
	8192	31.8%	(31.8%)
72000	mean = 82023.4	max = 198608
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(2.4%)
	1024	96.7%	(8.7%)
	2048	88%	(14.8%)
	4096	73.2%	(40.2%)
	8192	33%	(33%)
73000	mean = 80741.1	max = 215064
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.9%)
	1024	97.4%	(7.1%)
	2048	90.3%	(15.2%)
	4096	75.1%	(44.9%)
	8192	30.2%	(30.1%)
	16384	0.1%	(0.1%)
74000	mean = 84485.8	max = 214968
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.1%)
	256	99.6%	(0.5%)
	512	99.1%	(2.7%)
	1024	96.4%	(7.2%)
	2048	89.2%	(14%)
	4096	75.2%	(41.5%)
	8192	33.7%	(33.6%)
	16384	0.1%	(0.1%)
75000	mean = 81075.5	max = 212640
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(2.2%)
	1024	97%	(7.7%)
	2048	89.3%	(15.7%)
	4096	73.6%	(42.5%)
	8192	31.1%	(31%)
	16384	0.1%	(0.1%)
76000	mean = 87795.7	max = 196456
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.8%)
	1024	97.4%	(6.6%)
	2048	90.8%	(14.6%)
	4096	76.2%	(38.4%)
	8192	37.8%	(37.8%)
77000	mean = 83521.4	max = 178376
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.8%)
	1024	97.4%	(6.9%)
	2048	90.5%	(15.3%)
	4096	75.2%	(42%)
	8192	33.2%	(33.2%)
78000	mean = 82176.6	max = 197500
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.4%)
	512	99.1%	(2.7%)
	1024	96.4%	(8.1%)
	2048	88.3%	(13.9%)
	4096	74.4%	(41.7%)
	8192	32.7%	(32.7%)
79000	mean = 83450.1	max = 246860
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(2.2%)
	1024	97.1%	(8.9%)
	2048	88.2%	(13.4%)
	4096	74.8%	(41.6%)
	8192	33.2%	(33.1%)
	16384	0.1%	(0.1%)
80000	mean = 81719.6	max = 217068
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.2%)
	512	99.3%	(2.4%)
	1024	96.9%	(8.2%)
	2048	88.7%	(16%)
	4096	72.7%	(41.4%)
	8192	31.3%	(31.2%)
	16384	0.1%	(0.1%)
81000	mean = 85421.1	max = 197256
	64	100%	(0.1%)
	512	99.9%	(3.3%)
	1024	96.6%	(5.3%)
	2048	91.3%	(13.6%)
	4096	77.7%	(43.6%)
	8192	34.1%	(34.1%)
82000	mean = 83042.5	max = 238756
	128	100%	(0.5%)
	256	99.5%	(0.6%)
	512	98.9%	(2%)
	1024	96.9%	(7%)
	2048	89.9%	(14.2%)
	4096	75.7%	(44.6%)
	8192	31.1%	(30.8%)
	16384	0.3%	(0.3%)
83000	mean = 83708.9	max = 226380
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.9%)
	1024	96.4%	(7%)
	2048	89.4%	(15.6%)
	4096	73.8%	(39.2%)
	8192	34.6%	(34.5%)
	16384	0.1%	(0.1%)
84000	mean = 84764.7	max = 245344
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.5%)
	1024	97.9%	(7.7%)
	2048	90.2%	(14.3%)
	4096	75.9%	(41.6%)
	8192	34.3%	(34.2%)
	16384	0.1%	(0.1%)
85000	mean = 83203.6	max = 227000
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.7%)
	512	98.9%	(2.7%)
	1024	96.2%	(7.2%)
	2048	89%	(14.9%)
	4096	74.1%	(41.3%)
	8192	32.8%	(32.7%)
	16384	0.1%	(0.1%)
86000	mean = 84743	max = 198040
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2.1%)
	1024	97%	(8.4%)
	2048	88.6%	(14.9%)
	4096	73.7%	(39.2%)
	8192	34.5%	(34.5%)
87000	mean = 84951.4	max = 202292
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(8.4%)
	2048	89.4%	(15%)
	4096	74.4%	(38.6%)
	8192	35.8%	(35.8%)
88000	mean = 84726.5	max = 247120
	256	100%	(0.3%)
	512	99.7%	(2.8%)
	1024	96.9%	(7.2%)
	2048	89.7%	(15.1%)
	4096	74.6%	(39.5%)
	8192	35.1%	(34.9%)
	16384	0.2%	(0.2%)
89000	mean = 86324.8	max = 191544
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(2.4%)
	1024	97%	(5.9%)
	2048	91.1%	(15.2%)
	4096	75.9%	(40.3%)
	8192	35.6%	(35.6%)
90000	mean = 84366.5	max = 189344
	128	100%	(0.4%)
	256	99.6%	(0.5%)
	512	99.1%	(1.8%)
	1024	97.3%	(7%)
	2048	90.3%	(14.7%)
	4096	75.6%	(42.2%)
	8192	33.4%	(33.4%)
91000	mean = 85992.2	max = 194268
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.2%)
	512	99.4%	(2.8%)
	1024	96.6%	(6.3%)
	2048	90.3%	(13.9%)
	4096	76.4%	(41.1%)
	8192	35.3%	(35.3%)
92000	mean = 86404.8	max = 246604
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(0.6%)
	512	98.9%	(2.3%)
	1024	96.6%	(6.8%)
	2048	89.8%	(13.3%)
	4096	76.5%	(41.1%)
	8192	35.4%	(35.1%)
	16384	0.3%	(0.3%)
93000	mean = 87042.2	max = 193904
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(1%)
	1024	98.3%	(8%)
	2048	90.3%	(12.8%)
	4096	77.5%	(41.7%)
	8192	35.8%	(35.8%)
94000	mean = 85488.6	max = 218708
	128	100%	(0.4%)
	256	99.6%	(0.4%)
	512	99.2%	(1.9%)
	1024	97.3%	(8.2%)
	2048	89.1%	(15.4%)
	4096	73.7%	(38.1%)
	8192	35.6%	(35.5%)
	16384	0.1%	(0.1%)
95000	mean = 84857.3	max = 201044
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.2%)
	1024	97.1%	(6.6%)
	2048	90.5%	(15.1%)
	4096	75.4%	(40.6%)
	8192	34.8%	(34.8%)
96000	mean = 85836.1	max = 214796
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(2.4%)
	1024	97%	(7.6%)
	2048	89.4%	(14.2%)
	4096	75.2%	(38.9%)
	8192	36.3%	(36.2%)
	16384	0.1%	(0.1%)
97000	mean = 85322.2	max = 225100
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2%)
	1024	97.4%	(8.3%)
	2048	89.1%	(12.1%)
	4096	77%	(43.2%)
	8192	33.8%	(33.7%)
	16384	0.1%	(0.1%)
98000	mean = 84100.7	max = 226208
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.5%)
	512	99.1%	(2.3%)
	1024	96.8%	(6.1%)
	2048	90.7%	(15.7%)
	4096	75%	(41.4%)
	8192	33.6%	(33.5%)
	16384	0.1%	(0.1%)
99000	mean = 84240.5	max = 197880
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(3%)
	1024	96.3%	(7%)
	2048	89.3%	(14.1%)
	4096	75.2%	(41.6%)
	8192	33.6%	(33.6%)
100000	mean = 85060	max = 181280
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2.6%)
	1024	96.9%	(6.7%)
	2048	90.2%	(15.1%)
	4096	75.1%	(40.7%)
